query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
Q9I368	5ojq-assembly1.cif.gz_a	0.516	155	74	0	2	156	1	154	1.132E-13	422
Q9I368	5mxn-assembly1.cif.gz_a	0.506	157	76	0	2	156	1	157	4.254E-13	403
Q9I368	3j9g-assembly1.cif.gz_A	0.504	125	61	0	2	126	1	124	7.480E-11	345
Q9I368	5myu-assembly1.cif.gz_a	0.488	126	63	0	2	126	1	126	3.982E-11	342
Q9I368	5urw-assembly1.cif.gz_1A	0.492	136	68	0	30	165	1	135	1.025E-10	329
Q9I368	5n8n-assembly1.cif.gz_A	0.311	120	80	0	8	127	13	129	5.425E-07	226
Q9I368	3j9o-assembly1.cif.gz_A-1	0.234	129	98	0	8	136	5	133	5.079E-05	159
Q9I368	6fnz-assembly1.cif.gz_C	0.130	46	36	0	72	117	2	43	2.442E+00	30
Q9I368	6ndo-assembly1.cif.gz_B	0.101	68	57	0	70	133	430	497	1.076E+00	30
Q9I368	5akp-assembly1.cif.gz_B	0.098	68	57	0	70	133	432	499	1.474E+00	28
Q9I368	8brm-assembly1.cif.gz_SX	0.140	48	35	0	70	111	41	88	3.142E+00	26
Q9I368	6pl0-assembly1.cif.gz_B	0.100	69	56	0	71	133	431	499	3.564E+00	24
Q9I368	7oyb-assembly1.cif.gz_U2	0.170	44	34	0	72	113	42	85	5.203E+00	23
Q9I368	6v8i-assembly1.cif.gz_DL	0.196	61	47	0	86	146	120	179	7.595E+00	23
Q9I368	7pua-assembly1.cif.gz_DH	0.149	158	114	0	11	168	422	556	8.904E-01	20
Q9I368	5uyr-assembly1.cif.gz_A	0.115	68	56	0	70	133	429	496	3.346E+00	20
Q9I368	5knc-assembly1.cif.gz_G	0.112	122	91	0	57	160	71	192	5.902E+00	19
Q9I368	8q85-assembly1.cif.gz_a	0.162	83	66	0	76	158	154	233	5.203E+00	19
Q9I368	6ndp-assembly1.cif.gz_B	0.115	68	56	0	70	133	428	495	3.346E+00	19
Q9I368	6pl0-assembly1.cif.gz_A	0.112	70	56	0	71	134	431	500	5.203E+00	19
Q9I368	7eb2-assembly1.cif.gz_D	0.153	65	51	0	72	136	557	617	8.615E+00	19
Q9I368	5mrc-assembly1.cif.gz_S	0.149	158	96	0	43	156	13	170	2.950E+00	16
Q9I368	6uo9-assembly1.cif.gz_B	0.137	98	83	0	69	166	560	656	7.595E+00	16
Q9I368	6o0x-assembly1.cif.gz_A	0.175	38	29	0	74	109	892	929	8.615E+00	16
Q9I368	6m6i-assembly1.cif.gz_C	0.095	206	138	0	8	161	13	218	3.796E+00	16
Q9I368	4rww-assembly1.cif.gz_C	0.043	43	37	0	56	98	47	86	8.615E+00	15
Q9I368	7n9f-assembly1.cif.gz_K	0.142	118	82	0	71	166	22	139	7.131E+00	15
Q9I368	1xfq-assembly1.cif.gz_A	0.161	64	50	0	36	95	20	83	6.286E+00	14
Q9I368	4rnd-assembly1.cif.gz_C	0.140	102	75	0	72	159	56	157	9.176E+00	14
Q9I368	7ane-assembly1.cif.gz_ag	0.107	158	116	0	11	168	409	539	8.089E+00	14
Q9I368	6hiv-assembly1.cif.gz_DH	0.162	158	111	0	11	168	416	549	5.902E+00	14
Q9I368	6w2e-assembly1.cif.gz_J	0.165	147	109	0	16	146	34	180	4.885E+00	14
Q9I368	7br7-assembly1.cif.gz_l	0.143	134	105	0	23	146	17	150	9.176E+00	13
Q9I368	6w2d-assembly1.cif.gz_P	0.171	136	99	0	27	146	19	154	8.615E+00	13
Q9I368	3gw6-assembly2.cif.gz_D	0.142	182	108	0	1	127	70	251	7.595E+00	12
Q9I368	3gw6-assembly1.cif.gz_B	0.141	184	109	0	1	128	71	254	8.615E+00	12
Q9I368	1qu6-assembly1.cif.gz_A	0.095	95	81	0	27	121	83	172	7.595E+00	11
Q9I368	8i7r-assembly1.cif.gz_L3	0.165	177	127	0	16	168	25	201	7.131E+00	11
Q9I368	8flb-assembly1.cif.gz_SR	0.118	138	119	0	31	168	360	495	7.131E+00	11
